Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17072026,1706432445,0003099
Trade Date <17-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,138,885TCAPS29,NC,40,20,50.00
20,139,888IRFC29,NE,990,965,97.47
20,140,888REC29,NF,100,100,100.00
20,141,889SCL27,YT,11,11,100.00
20,142,890AEL31,NN,132,132,100.00
20,143,891NTPC33,N6,60,60,100.00
20,144,892PFCL33,N8,120,120,100.00
20,145,893NHB29,N6,34,34,100.00
20,146,895AEL27,N9,111,86,77.48
20,147,897MOFSL29,N4,105,105,100.00
20,148,898LTF29,N7,20,20,100.00
20,149,89IHFL29,N1,50,50,100.00
20,150,8ABCL26,N2,14,7,50.00
20,151,901HUDCO34,NE,420,420,100.00
20,152,901NHB34,N6,55,55,100.00
20,153,903SFL28,YI,100,100,100.00
20,154,910TCAP28,NA,999,954,95.50
20,155,915AEL28,NC,106,106,100.00
20,156,915APSBC35,N0,1,1,100.00
20,157,915SCL26,NE,322,321,99.69
20,158,91D011026,TB,100,100,100.00
20,159,91D151026,TB,300,100,33.33
20,160,91D280826,TB,1200,1000,83.33
20,161,91D300726,TB,2000,2000,100.00
20,162,91MOFSL27,N2,50,50,100.00
20,163,920ISF28B,N0,10,10,100.00
20,164,925AEL26,N1,30,30,100.00
20,165,925ECL28,N2,150,75,50.00
20,166,92GS2030,GS,1008,1004,99.60
20,167,92SFIL28,ND,165,165,100.00
20,168,930AEL30,NF,62,62,100.00
20,169,930APMD28,N0,1,1,100.00
20,170,930SFL28,YP,150,100,66.67
20,171,931SFL26,Z5,269,269,100.00
20,172,932AEL27,N3,50,50,100.00
20,173,935TSI30,N0,10,10,100.00
20,174,935TSIIC28,N0,2,2,100.00
20,175,93MOFSL34,N6,40,40,100.00
20,176,943ECL28,NJ,939,939,100.00
20,177,945SCL28,N0,3,3,100.00
20,178,945SCL29,N0,15,15,100.00
20,179,948SCL27D,N1,5,5,100.00
20,180,94SFL28,YL,10,10,100.00
20,181,955SCL35,NO,50,50,100.00
20,182,957ICCL25,YW,20,20,100.00
20,183,957ISFL26,N2,298,298,100.00
20,184,965AEL27,N4,34,34,100.00
20,185,96IIFL28,N5,1706,1706,100.00
20,186,96IIFL28A,NF,3359,3176,94.55
20,187,96SFIL24A,NB,79,79,100.00
20,188,970CAGL28,ND,1426,1426,100.00
20,189,975BNAL28,N0,1,1,100.00
20,190,975SCL28,NT,4,4,100.00
20,191,975SCL29,N0,4,4,100.00
20,192,97SFL28,YS,2419,1383,57.17
20,193,97SFL29,YZ,500,499,99.80
20,194,985ECL28,NK,60,60,100.00
20,195,9AEL30,NE,22,22,100.00
20,196,9IIFL28A,NT,505,505,100.00
20,197,9IIFL31,Y9,45,45,100.00
20,198,9SCL26BA,NA,8,8,100.00
20,199,A2ZINFRA,EQ,238054,171854,72.19
20,200,AAATECH,EQ,21229,19613,92.39
20,201,AADHARHFC,EQ,195329,105077,53.79
20,202,AAKAAR,SM,4800,4800,100.00
20,203,AAKASH,EQ,34967,25971,74.27
20,204,AARADHYA,SM,1200,1200,100.00
20,205,AARNAV,EQ,1374124,421544,30.68
20,206,AARON,EQ,5495,3773,68.66
20,207,AARTIDRUGS,EQ,221704,104731,47.24
20,208,AARTIIND,EQ,999288,368848,36.91
20,209,AARTIPHARM,EQ,102911,46145,44.84
20,210,AARTISURF,EQ,16543,8841,53.44
20,211,AARVI,EQ,123429,29834,24.17
20,212,AATMAJ,SM,2000,2000,100.00
20,213,AAVAS,EQ,26018,11351,43.63
20,214,ABB,EQ,366304,104546,28.54
20,215,ABBOTINDIA,EQ,11100,6234,56.16
20,216,ABCAPITAL,EQ,4757491,3007752,63.22
