Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17072026,1706432445,0003099
Trade Date <17-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,543,BCPL,EQ,4688,3111,66.36
20,544,BDL,EQ,484790,161881,33.39
20,545,BEACON,ST,3000,3000,100.00
20,546,BEARDSELL,EQ,16894,13255,78.46
20,547,BECTORFOOD,EQ,43462628,3971254,9.14
20,548,BEDMUTHA,EQ,836,836,100.00
20,549,BEEKAY,EQ,1548,1495,96.58
20,550,BEL,EQ,6678047,3521113,52.73
20,551,BELLACASA,EQ,8842,4366,49.38
20,552,BELRISE,EQ,5561264,3284375,59.06
20,553,BEML,EQ,153710,57693,37.53
20,554,BENGALASM,EQ,218,138,63.30
20,555,BEPL,EQ,3105406,1683847,54.22
20,556,BERGEPAINT,EQ,171501,79762,46.51
20,557,BESTAGRO,EQ,287405,142879,49.71
20,558,BETA,EQ,42504,12590,29.62
20,559,BEWLTD,SM,10000,5500,55.00
20,560,BFINVEST,EQ,62384,26466,42.42
20,561,BFSI,EQ,252448,157214,62.28
20,562,BFUTILITIE,EQ,89515,32420,36.22
20,563,BHADORA,ST,13200,13200,100.00
20,564,BHAGCHEM,EQ,62066,36917,59.48
20,565,BHARATCOAL,EQ,7256542,2486267,34.26
20,566,BHARATFORG,EQ,1942065,788286,40.59
20,567,BHARATRAS,EQ,4540,2687,59.19
20,568,BHARATSE,EQ,360662,154191,42.75
20,569,BHARATWIRE,EQ,271810,153185,56.36
20,570,BHARTIARTL,EQ,4715613,3246968,68.86
20,571,BHARTIHEXA,EQ,62567,30664,49.01
20,572,BHEL,EQ,48217882,16334516,33.88
20,573,BI,EQ,1065,770,72.30
20,574,BIGBLOC,EQ,54880,21783,39.69
20,575,BIKAJI,EQ,48137,26807,55.69
20,576,BIKEWO,ST,80000,80000,100.00
20,577,BIL,EQ,3901,2520,64.60
20,578,BIMETAL,EQ,490,394,80.41
20,579,BIOCON,EQ,8811391,5291062,60.05
20,580,BIOFILCHEM,EQ,7675,6963,90.72
20,581,BIOPOL,SM,26400,22800,86.36
20,582,BIRDYS,ST,520800,520800,100.00
20,583,BIRET,RR,119692,103211,86.23
20,584,BIRLACORPN,EQ,65814,35917,54.57
20,585,BIRLAMONEY,EQ,103787,42514,40.96
20,586,BIRLANU,EQ,8796,4938,56.14
20,587,BIRLAPREC,EQ,24714,20927,84.68
20,588,BLACKBUCK,EQ,488225,232474,47.62
20,589,BLAL,EQ,4968,3979,80.09
20,590,BLBLIMITED,EQ,11359,7910,69.64
20,591,BLIL,EQ,49469,44923,90.81
20,592,BLKASHYAP,EQ,407204,247863,60.87
20,593,BLS,EQ,818626,388344,47.44
20,594,BLSE,EQ,1085011,262538,24.20
20,595,BLUEDART,EQ,4171,1909,45.77
20,596,BLUEJET,EQ,401858,161408,40.17
20,597,BLUEPEBBLE,SM,400,400,100.00
20,598,BLUESTARCO,EQ,359288,191386,53.27
20,599,BLUESTONE,EQ,443198,195605,44.13
20,600,BLUEWATER,ST,17000,16000,94.12
20,601,BLUSPRING,EQ,484229,203082,41.94
20,602,BMETRICS,SM,800,800,100.00
20,603,BMLL,SM,6000,4000,66.67
20,604,BMWVENTLTD,EQ,75568,38457,50.89
20,605,BNALTD,EQ,50271,8918,17.74
20,606,BNKETFAXIS,EQ,625,609,97.44
20,607,BOHRAIND,EQ,2894,2213,76.47
20,608,BOMDYEING,EQ,439716,188634,42.90
20,609,BONLON,EQ,5317,4721,88.79
20,610,BORANA,EQ,26020,12105,46.52
20,611,BOROLTD,EQ,98896,53600,54.20
20,612,BORORENEW,EQ,3031488,806114,26.59
20,613,BOROSCI,EQ,66319,40367,60.87
20,614,BOSCH-HCIL,EQ,7187,4073,56.67
20,615,BOSCHLTD,EQ,13320,4196,31.50
20,616,BOSS,SM,4000,4000,100.00
20,617,BPCL,EQ,5658733,3190487,56.38
20,618,BPL,EQ,45018,27935,62.05
20,619,BRACEPORT,SM,1600,1600,100.00
20,620,BRANDMAN,ST,8000,7200,90.00
20,621,BRIGADE,EQ,444778,173335,38.97
20,622,BRIGHOTEL,EQ,44214,32043,72.47
20,623,BRITANNIA,EQ,199477,101262,50.76
20,624,BRNL,EQ,30429,21042,69.15
20,625,BSE,EQ,3660561,1996333,54.54
20,626,BSE500IETF,EQ,114997,94669,82.32
20,627,BSL,EQ,2118,963,45.47
20,628,BSLGOLDETF,EQ,183207,79647,43.47
20,629,BSLNIFTY,EQ,595637,432605,72.63
20,630,BSLSENETFG,EQ,2879,2175,75.55
20,631,BSOFT,EQ,2053258,1229103,59.86
20,632,BTML,EQ,211320,144561,68.41
20,633,BUILDPRO,EQ,31635,16646,52.62
20,634,BULKCORP,SM,2400,2400,100.00
20,635,BUTTERFLY,EQ,39581,22733,57.43
20,636,BVCL,EQ,2217,1714,77.31
20,637,C2C,SM,112800,81300,72.07
20,638,CAMLINFINE,EQ,463398,210844,45.50
20,639,CAMPUS,EQ,52366677,2972657,5.68
20,640,CAMS,EQ,1428098,513326,35.94
20,641,CANARYS,SM,96000,64000,66.67
20,642,CANBK,EQ,19266430,10740184,55.75
20,643,CANFINHOME,EQ,196616,140613,71.52
20,644,CANHLIFE,EQ,443724,177756,40.06
20,645,CANTABIL,EQ,488140,238899,48.94
20,646,CAPACITE,EQ,295461,129996,44.00
20,647,CAPILLARY,EQ,39318,10225,26.01
20,648,CAPINVIT,IV,644070,585816,90.96
20,649,CAPITALSFB,EQ,187364,133697,71.36
20,650,CAPLIPOINT,EQ,71088,38564,54.25
20,651,CAPTRUST,EQ,92471,88386,95.58
20,652,CARBORUNIV,EQ,112765,62684,55.59
20,653,CARERATING,EQ,23240,13074,56.26
20,654,CARRARO,EQ,102261,58588,57.29
20,655,CARTRADE,EQ,341812,134931,39.48
20,656,CARYSIL,EQ,126047,65156,51.69
20,657,CASHIETF,EQ,135724,109407,80.61
20,658,CASTROLIND,EQ,1296686,902584,69.61
20,659,CCAVENUE,EQ,12191062,6129416,50.28
20,660,CCCL,EQ,200167,125838,62.87
20,661,CCHHL,EQ,12194,9266,75.99
20,662,CCL,EQ,128781,73170,56.82
20,663,CDSL,EQ,1729889,418782,24.21
20,664,CEATLTD,EQ,1303136,320173,24.57
20,665,CEDAAR,ST,1000,1000,100.00
20,666,CEIGALL,EQ,444747,271597,61.07
20,667,CEINSYS,EQ,23904,14158,59.23
20,668,CELEBRITY,EQ,24178,18280,75.61
20,669,CELLECOR,ST,78000,75000,96.15
20,670,CELLO,EQ,387362,290315,74.95
20,671,CELLPOINT,SM,1200,1200,100.00
20,672,CEMPRO,EQ,687137,564702,82.18
20,673,CENTENKA,EQ,38212,17162,44.91
20,674,CENTEXT,EQ,184216,109533,59.46
20,675,CENTRALBK,EQ,33116552,12214352,36.88
20,676,CENTRUM,EQ,196425,91379,46.52
20,677,CENTUM,EQ,35768,21770,60.86
20,678,CENTURYPLY,EQ,31172,16082,51.59
20,679,CERA,EQ,5218,2457,47.09
20,680,CESC,EQ,783490,436327,55.69
20,681,CEWATER,EQ,211210,89122,42.20
20,682,CGCL,EQ,1620882,464279,28.64
20,683,CGPOWER,EQ,2383800,1227934,51.51
20,684,CGRAPHICS,SM,30400,23200,76.32
20,685,CHALET,EQ,43312,22429,51.78
20,686,CHAMBLFERT,EQ,430840,190413,44.20
20,687,CHAMUNDA,SM,3000,3000,100.00
20,688,CHANDAN,SM,68800,43200,62.79
20,689,CHAVDA,SM,43000,24000,55.81
20,690,CHEMICAL,EQ,456983,327618,71.69
20,691,CHEMPLASTS,EQ,200082,99025,49.49
20,692,CHENNPETRO,EQ,1630780,494032,30.29
20,693,CHETANA,ST,28800,28800,100.00
20,694,CHEVIOT,EQ,763,582,76.28
20,695,CHOICEGOLD,EQ,3192,1676,52.51
20,696,CHOICEIN,EQ,723085,270978,37.48
20,697,CHOLAFIN,EQ,791604,498483,62.97
20,698,CHOLAHLDNG,EQ,142336,96142,67.55
20,699,CIEINDIA,EQ,244325,136582,55.90
20,700,CIFCZC28,NH,105,105,100.00
20,701,CIFL,EQ,34898,17958,51.46
20,702,CINELINE,EQ,4514,3408,75.50
20,703,CINEVISTA,EQ,7455,6333,84.95
20,704,CIPLA,EQ,607055,298497,49.17
20,705,CITIUSINVT,IV,43943,33986,77.34
20,706,CKKRETAIL,SM,9600,7200,75.00
20,707,CLASSICEIL,ST,14400,14400,100.00
20,708,CLAYCRAFT,SM,49200,37800,76.83
20,709,CLEAN,EQ,482269,218358,45.28
20,710,CLEANMAX,EQ,97885,38841,39.68
20,711,CLSEL,EQ,45039,30997,68.82
20,712,CLSL,SM,36000,34000,94.44
20,713,CMNL,SM,3750,3000,80.00
20,714,CMPDI,EQ,2022127,737504,36.47
20,715,CMRGREEN,EQ,866875,323147,37.28
20,716,CMSINFO,EQ,712937,465921,65.35
20,717,CNL,EQ,29988,15389,51.32
20,718,COALINDIA,EQ,4142036,2218266,53.55
20,719,COASTCORP,EQ,105614,54149,51.27
20,720,COCHINSHIP,EQ,818536,303389,37.06
20,721,COCKERILL,EQ,6824,2825,41.40
20,722,COFORGE,EQ,2927353,1386419,47.36
20,723,COHANCE,EQ,3796390,761658,20.06
20,724,COLPAL,EQ,423366,221020,52.21
20,725,COMFINTE,EQ,81283,61218,75.31
20,726,COMMITTED,ST,800,800,100.00
20,727,COMMOIETF,EQ,51429,40000,77.78
20,728,COMPUSOFT,EQ,12908,6682,51.77
20,729,COMSYN,EQ,78146,28955,37.05
20,730,CONCOR,EQ,449962,165194,36.71
20,731,CONCORDBIO,EQ,90290,39539,43.79
20,732,CONFIPET,EQ,2135928,1036944,48.55
20,733,CONNPLEX,SM,112800,104800,92.91
20,734,CONS,EQ,32427,19596,60.43
20,735,CONSOFINVT,EQ,37496,29811,79.50
20,736,CONSUMAXIS,EQ,1139,665,58.38
20,737,CONSUMBEES,EQ,82448,36622,44.42
20,738,CONSUMER,EQ,104825,83100,79.27
20,739,CONSUMIETF,EQ,10387,7944,76.48
20,740,CONTI,SM,6666,3333,50.00
20,741,CONTROLPR,EQ,21500,10157,47.24
20,742,COOLCAPS,ST,360000,318750,88.54
20,743,CORALFINAC,EQ,3323,3140,94.49
20,744,CORDELIA,EQ,304022,90381,29.73
20,745,COROMANDEL,EQ,152450,87206,57.20
20,746,CORONA,EQ,25741,11498,44.67
20,747,COSMOFIRST,EQ,90908,33584,36.94
20,748,COUNCODOS,EQ,417025,191356,45.89
20,749,CPEDU,EQ,5645,3362,59.56
20,750,CPPLUS,EQ,259103,136913,52.84
20,751,CPS,SM,150,150,100.00
20,752,CPSEETF,EQ,566328,386674,68.28
20,753,CRAFTSMAN,EQ,30115,23198,77.03
20,754,CRAMC,EQ,402218,138210,34.36
20,755,CREATIVEYE,EQ,4641,3588,77.31
20,756,CREDITACC,EQ,289173,172266,59.57
20,757,CREST,EQ,6542,4823,73.72
20,758,CRISIL,EQ,49942,24981,50.02
20,759,CRIZAC,EQ,438452,233016,53.15
20,760,CROMPTON,EQ,1557455,698898,44.87
20,761,CROWN,EQ,3819,2949,77.22
20,762,CSBBANK,EQ,292306,142505,48.75
20,763,CSLFINANCE,EQ,53523,34185,63.87
20,764,CSM,EQ,480585,270683,56.32
20,765,CSSL,SM,3000,2000,66.67
20,766,CTE,EQ,2096,2056,98.09
20,767,CUB,EQ,1792388,1054457,58.83
20,768,CUBEINVIT,IV,300000,300000,100.00
20,769,CUBEXTUB,EQ,29022,16191,55.79
20,770,CUDML,ST,2000,2000,100.00
20,771,CUMMINSIND,EQ,666621,405822,60.88
20,772,CUPID,EQ,38003173,8605365,22.64
20,773,CURAA,EQ,54,51,94.44
20,774,CURIS,SM,5000,5000,100.00
20,775,CURRENT,SM,24000,11200,46.67
20,776,CYIENT,EQ,199012,98071,49.28
20,777,CYIENTDLM,EQ,944732,248809,26.34
20,778,DABUR,EQ,2117096,1113686,52.60
20,779,DALBHARAT,EQ,342265,206955,60.47
20,780,DALMIASUG,EQ,360531,115571,32.06
20,781,DAMCAPITAL,EQ,714165,325366,45.56
20,782,DANGEE,EQ,10227,7696,75.25
20,783,DANISH,SM,11400,7500,65.79
20,784,DATAMATICS,EQ,87731,31465,35.87
20,785,DATAPATTNS,EQ,397739,96692,24.31
20,786,DAVANGERE,EQ,1867737,991590,53.09
20,787,DBCORP,EQ,459859,153256,33.33
20,788,DBL,EQ,60267,23299,38.66
20,789,DCAL,EQ,244716,145047,59.27
20,790,DCBBANK,EQ,741468,420710,56.74
20,791,DCCL,SM,6000,6000,100.00
20,792,DCG,SM,4800,3600,75.00
20,793,DCI,EQ,15473,11476,74.17
20,794,DCMSHRIRAM,EQ,33800,15959,47.22
20,795,DCMSRIND,EQ,283381,117353,41.41
20,796,DCW,EQ,732446,345293,47.14
20,797,DCXINDIA,EQ,347240,167086,48.12
20,798,DDEVPLSTIK,EQ,73153,35345,48.32
20,799,DECCANCE,EQ,29565,17996,60.87
20,800,DECCANTRAN,SM,1200,1200,100.00
20,801,DECNGOLD,EQ,932937,418279,44.83
20,802,DEEM,ST,7000,6000,85.71
20,803,DEEPAKFERT,EQ,203936,47828,23.45
20,804,DEEPAKNTR,EQ,153400,72634,47.35
20,805,DEEPINDS,EQ,273181,115848,42.41
20,806,DEFENCE,EQ,109331,91097,83.32
20,807,DELAPLEX,SM,4200,3000,71.43
20,808,DELHIVERY,EQ,5132951,2649365,51.61
20,809,DELTACORP,EQ,813716,332436,40.85
20,810,DELTAMAGNT,EQ,1364,750,54.99
20,811,DELTIC,ST,13000,12000,92.31
20,812,DEN,EQ,674870,382140,56.62
20,813,DENEERS,SM,21600,16200,75.00
20,814,DENORA,EQ,4524,2336,51.64
20,815,DENTA,EQ,135260,46569,34.43
20,816,DENTALKART,SM,32000,21500,67.19
20,817,DEVIT,EQ,33634,21483,63.87
20,818,DEVX,EQ,51191,41066,80.22
20,819,DEVYANI,EQ,1187435,553255,46.59
20,820,DGCONTENT,EQ,24502,20995,85.69
20,821,DHAMPURSUG,EQ,580919,265521,45.71
20,822,DHANBANK,EQ,1279693,541469,42.31
20,823,DHANLAXMI,SM,32000,30000,93.75
20,824,DHANSA,ST,14000,12000,85.71
20,825,DHANUKA,EQ,28220,17458,61.86
20,826,DHARARAIL,ST,2000,2000,100.00
20,827,DHARIWAL,SM,90000,60000,66.67
20,828,DHARMAJ,EQ,32006,23601,73.74
20,829,DHUNINV,EQ,1552,440,28.35
20,830,DIACABS,EQ,5942979,2603599,43.81
20,831,DIAMINESQ,EQ,1265,743,58.74
20,832,DIAMONDYD,EQ,25563,16830,65.84
20,833,DICIND,EQ,449,317,70.60
20,834,DIFFNKG,EQ,64073,32504,50.73
20,835,DIGIDRIVE,EQ,3604,2343,65.01
20,836,DIGIKORE,SM,37200,27200,73.12
20,837,DIGITIDE,EQ,369297,136365,36.93
20,838,DIGJAMLMTD,EQ,5214,3364,64.52
20,839,DISAQ,EQ,377,121,32.10
20,840,DIVGIITTS,EQ,45669,22601,49.49
20,841,DIVIDEND,EQ,621433,620992,99.93
20,842,DIVINEHIRA,ST,14400,7200,50.00
20,843,DIVISLAB,EQ,455060,276903,60.85
20,844,DIVOPPBEES,EQ,23955,16279,67.96
20,845,DIVYADHAN,ST,12000,12000,100.00
20,846,DIXON,EQ,674412,340796,50.53
20,847,DJML,EQ,379306,54213,14.29
20,848,DLF,EQ,9526166,4361749,45.79
20,849,DLINKINDIA,EQ,167733,61488,36.66
20,850,DMART,EQ,356574,176045,49.37
20,851,DMCC,EQ,23644,9181,38.83
20,852,DNAMEDIA,EQ,9937,4860,48.91
20,853,DODLA,EQ,9992,5565,55.69
20,854,DOLATALGO,EQ,66578,31206,46.87
20,855,DOLLAR,EQ,92014,60510,65.76
20,856,DOLLEX,SM,28000,28000,100.00
20,857,DOLPHIN,EQ,2925,2029,69.37
20,858,DOMS,EQ,23317,9986,42.83
20,859,DONEAR,EQ,9318,6685,71.74
20,860,DPABHUSHAN,EQ,29859,11969,40.09
20,861,DPEL,SM,25500,16500,64.71
20,862,DRAGARWQ,EQ,624,443,70.99
20,863,DRCSYSTEMS,EQ,47268,33907,71.73
20,864,DREAMFOLKS,EQ,28744,14830,51.59
20,865,DREDGECORP,EQ,72885,33539,46.02
20,866,DRONE,ST,16500,16500,100.00
20,867,DRREDDY,EQ,2075149,1100505,53.03
20,868,DSSL,EQ,21636,12208,56.42
20,869,DTIL,EQ,2403,1394,58.01
20,870,DUCOL,SM,2400,1600,66.67
20,871,DUCON,EQ,172721,148374,85.90
20,872,DUGLOBAL,ST,22500,22500,100.00
20,873,DURLAX,ST,2000,2000,100.00
20,874,DVL,EQ,16786,11690,69.64
20,875,DWARKESH,EQ,2809958,749170,26.66
20,876,DYCL,EQ,321478,131948,41.04
20,877,DYNAMATECH,EQ,9663,3690,38.19
20,878,DYNAMIC,ST,2500,2000,80.00
20,879,DYNPRO,EQ,3466,2091,60.33
20,880,E2E,EQ,2414292,1083588,44.88
20,881,E2ERAIL,ST,7200,7200,100.00
20,882,EASEMYTRIP,EQ,12584594,4126240,32.79
20,883,EBANKNIFTY,EQ,3582,3566,99.55
20,884,EBBETF0430,EQ,14422,13276,92.05
20,885,EBBETF0431,EQ,2716,2400,88.37
20,886,EBBETF0433,EQ,908,777,85.57
20,887,EBGNG,EQ,366624,229239,62.53
20,888,ECAPINSURE,EQ,34177,23465,68.66
20,889,ECLERX,EQ,3503720,623261,17.79
20,890,ECOLINE,ST,4000,4000,100.00
20,891,EDELWEISS,EQ,1563483,713833,45.66
20,892,EEPL,SM,46000,36000,78.26
20,893,EFACTOR,SM,800,800,100.00
20,894,EFCIL,EQ,229675,148029,64.45
20,895,EFFWA,ST,3200,2400,75.00
20,896,EFORCE,SM,21600,19200,88.89
20,897,EGOLD,EQ,54207,38422,70.88
20,898,EICHERMOT,EQ,489811,231221,47.21
20,899,EIDPARRY,EQ,317690,159571,50.23
20,900,EIEL,EQ,1885166,744888,39.51
20,901,EIHAHOTELS,EQ,10121,5426,53.61
20,902,EIHOTEL,EQ,132003,66490,50.37
20,903,EIMCOELECO,EQ,28873,12834,44.45
20,904,EKC,EQ,114692,72592,63.29
20,905,ELANTAS,EQ,447,198,44.30
20,906,ELCIDIN,EQ,2,2,100.00
20,907,ELDEHSG,EQ,3609,3302,91.49
20,908,ELECON,EQ,334435,131021,39.18
20,909,ELECTCAST,EQ,829586,498882,60.14
20,910,ELECTHERM,EQ,12986,7085,54.56
20,911,ELGIEQUIP,EQ,243586,109181,44.82
20,912,ELGIRUBCO,EQ,118437,37036,31.27
20,913,ELGNZ,SM,75000,51000,68.00
20,914,ELIN,EQ,244064,84873,34.77
20,915,ELIQUID,EQ,45183,39852,88.20
20,916,ELITECON,EQ,1720159,635145,36.92
20,917,ELLEN,EQ,161485,78329,48.51
20,918,ELM250,EQ,646041,614123,95.06
20,919,ELPROINTL,EQ,27176,25132,92.48
20,920,EMAMILTD,EQ,440073,229740,52.20
20,921,EMAMIPAP,EQ,27283,12963,47.51
20,922,EMAPARTNER,SM,5000,3000,60.00
20,923,EMBASSY,RR,828861,696188,83.99
20,924,EMBDL,EQ,1581550,635916,40.21
20,925,EMCURE,EQ,239836,69389,28.93
20,926,EMIL,EQ,1187321,766464,64.55
20,927,EMKAY,EQ,42093,27061,64.29
20,928,EMMIL,SM,4250,4000,94.12
20,929,EMMVEE,EQ,5895335,2299280,39.00
20,930,EMSLIMITED,EQ,377874,139611,36.95
20,931,EMUDHRA,EQ,84132,42757,50.82
20,932,EMULTIMQ,EQ,31038,27374,88.20
20,933,ENCOMPAS,SM,16800,12400,73.81
20,934,ENDURANCE,EQ,80688,42161,52.25
20,935,ENERGY,EQ,119167,77609,65.13
20,936,ENERGYDEV,EQ,24922,18941,76.00
20,937,ENEXT50,EQ,232,160,68.97
20,938,ENFUSE,SM,2400,2400,100.00
20,939,ENGINERSIN,EQ,975444,468791,48.06
20,940,ENIFTY,EQ,3956,2544,64.31
20,941,ENIL,EQ,11912,8299,69.67
20,942,ENRIN,EQ,430018,209027,48.61
20,943,ENSER,ST,25000,25000,100.00
20,944,ENTERO,EQ,53396,31886,59.72
20,945,ENVIRO,SM,29000,16000,55.17
20,946,EPACK,EQ,351242,131584,37.46
20,947,EPACKPEB,EQ,586638,228129,38.89
20,948,EPIGRAL,EQ,30443,14908,48.97
20,949,EPL,EQ,345872,163983,47.41
20,950,EPWINDIA,ST,7200,7200,100.00
20,951,EQUAL200,EQ,11447,9378,81.93
20,952,EQUAL50,EQ,502,470,93.63
20,953,EQUAL50ADD,EQ,9314,7567,81.24
20,954,EQUITASBNK,EQ,2084940,868747,41.67
20,955,ERIS,EQ,77041,40240,52.23
20,956,ESABINDIA,EQ,1973,1278,64.77
20,957,ESAFSFB,EQ,899746,311685,34.64
20,958,ESCONET,ST,11600,11600,100.00
20,959,ESCORTS,EQ,51586,26126,50.65
20,960,ESENSEX,EQ,160,150,93.75
20,961,ESFL,ST,11520,11520,100.00
20,962,ESG,EQ,25903,19698,76.05
20,963,ESILVER,EQ,242718,197287,81.28
20,964,ESPRIT,SM,19200,9600,50.00
20,965,ESSARSHPNG,EQ,131292,71720,54.63
20,966,ESTER,EQ,22762,15428,67.78
20,967,ETERNAL,EQ,17477557,7775589,44.49
20,968,ETHOSLTD,EQ,19093,8456,44.29
20,969,ETL,SM,600,600,100.00
20,970,ETML,SM,44400,33600,75.68
20,971,EUREKAFORB,EQ,67331,38898,57.77
20,972,EUROBOND,EQ,696,411,59.05
20,973,EUROPRATIK,EQ,148631,16384,11.02
20,974,EVEREADY,EQ,130153,59220,45.50
20,975,EVIETF,EQ,122906,64806,52.73
20,976,EVINDIA,EQ,307716,165674,53.84
20,977,EXCELINDUS,EQ,4448,3461,77.81
20,978,EXCELLENT,ST,9600,9600,100.00
20,979,EXCELSOFT,EQ,363999,172827,47.48
20,980,EXICOM,EQ,1176908,383635,32.60
20,981,EXIDEIND,EQ,12389278,2962059,23.91
20,982,EXIMROUTES,SM,96000,95200,99.17
20,983,EXPLEOSOL,EQ,9429,5443,57.73
20,984,EXXARO,EQ,186429,121441,65.14
20,985,FABTECH,EQ,137427,47767,34.76
20,986,FACT,EQ,116321,53570,46.05
20,987,FALCONTECH,SM,24000,20400,85.00
20,988,FAZE3Q,EQ,5193,2427,46.74
20,989,FCL,EQ,13357045,2985737,22.35
20,990,FDC,EQ,86854,49713,57.24
20,991,FEDDERSHOL,EQ,287494,109149,37.97
20,992,FEDERALBNK,EQ,44155126,9652330,21.86
20,993,FEDFINA,EQ,2014519,833175,41.36
20,994,FELIX,SM,81000,24000,29.63
20,995,FERMENTA,EQ,253332,102716,40.55
20,996,FIBERWEB,EQ,29354,18171,61.90
20,997,FIDEL,SM,2000,2000,100.00
20,998,FIEMIND,EQ,45042,25747,57.16
20,999,FILATEX,EQ,6359909,1738987,27.34
20,1000,FINBUD,SM,8000,5000,62.50
20,1001,FINCABLES,EQ,173626,93758,54.00
20,1002,FINEORG,EQ,6114,3652,59.73
20,1003,FINIETF,EQ,473128,369507,78.10
20,1004,FINKURVE,EQ,63624,58915,92.60
20,1005,FINOPB,EQ,58714643,1557192,2.65
20,1006,FINPIPE,EQ,405578,245729,60.59
20,1007,FIRSTCRY,EQ,566456,213769,37.74
20,1008,FISCHER,EQ,2600844,757449,29.12
20,1009,FIVESTAR,EQ,405866,190909,47.04
20,1010,FLAIR,EQ,77345,42787,55.32
20,1011,FLEXIADD,EQ,115141,87225,75.75
20,1012,FLUOROCHEM,EQ,145924,78047,53.48
20,1013,FLYSBS,SM,59400,37800,63.64
20,1014,FMCGADD,EQ,10926,5978,54.71
20,1015,FMCGIETF,EQ,603093,391714,64.95
20,1016,FMGOETZE,EQ,43048,22076,51.28
20,1017,FOODSIN,EQ,52510,32448,61.79
20,1018,FORCAS,SM,97600,59200,60.66
20,1019,FORCEMOT,EQ,56827,14723,25.91
20,1020,FORGEAUTO,SM,2400,1200,50.00
20,1021,FORTIS,EQ,604717,346037,57.22
20,1022,FOSECOIND,EQ,934,514,55.03
20,1023,FRACTAL,EQ,256409,141678,55.25
20,1024,FRESHARA,SM,39600,22200,56.06
20,1025,FROG,ST,19600,18400,93.88
20,1026,FRONTSP,EQ,11638,7628,65.54
20,1027,FSL,EQ,865712,330828,38.21
20,1028,FUSION,EQ,454666,199434,43.86
20,1029,FWSTC,SM,7200,7200,100.00
20,1030,GABRIEL,EQ,298429,124134,41.60
20,1031,GAEL,EQ,588598,356354,60.54
20,1032,GAIL,EQ,9642263,6600453,68.45
20,1033,GALAPREC,EQ,49147,16207,32.98
20,1034,GALAXYSURF,EQ,5638,2836,50.30
20,1035,GALLANTT,EQ,87901,69145,78.66
20,1036,GANDHAR,EQ,586858,245900,41.90
20,1037,GANDHITUBE,EQ,1705,1093,64.11
20,1038,GANECOS,EQ,197961,115310,58.25
20,1039,GANESHBE,EQ,196950,90693,46.05
20,1040,GANESHCP,EQ,70757,42526,60.10
20,1041,GANESHHOU,EQ,41383,22491,54.35
20,1042,GANESHIN,ST,14400,12800,88.89
20,1043,GANGABATH,SM,36000,21000,58.33
20,1044,GANGESSECU,EQ,3315,2321,70.02
20,1045,GARFIBRES,EQ,29234,13587,46.48
20,1046,GARUDA,EQ,254517,116352,45.71
20,1047,GATECH,EQ,11420371,3270717,28.64
20,1048,GATECHDVR,EQ,145935,142914,97.93
20,1049,GATEWAY,EQ,543624,350011,64.38
20,1050,GAYAHWS,EQ,220690,189133,85.70
20,1051,GCHOTELS,ST,39000,35400,90.77
20,1052,GCSL,EQ,610828,241324,39.51
20,1053,GEEKAYWIRE,EQ,29216,23376,80.01
20,1054,GEMAROMA,EQ,90350,44068,48.77
20,1055,GENCON,EQ,241590,7468,3.09
20,1056,GENESYS,EQ,133389,66497,49.85
20,1057,GENUSPAPER,EQ,63022,53355,84.66
20,1058,GENUSPOWER,EQ,2479730,1100733,44.39
20,1059,GENXAI,SM,15600,9600,61.54
20,1060,GEOJITFSL,EQ,323801,180236,55.66
20,1061,GESHIP,EQ,444699,255326,57.42
20,1062,GFLLIMITED,EQ,30099,16350,54.32
20,1063,GGBL,SM,43800,27600,63.01
20,1064,GHCL,EQ,78645,46924,59.67
20,1065,GHCLTEXTIL,EQ,464717,200276,43.10
20,1066,GICHSGFIN,EQ,61234,21001,34.30
20,1067,GICL,EQ,41097,34975,85.10
20,1068,GICRE,EQ,324913,159729,49.16
20,1069,GILLANDERS,EQ,3197,2320,72.57
20,1070,GILLETTE,EQ,15116,7143,47.25
20,1071,GILT10BETA,EQ,110,105,95.45
20,1072,GILT5BETA,EQ,541,300,55.45
20,1073,GILT5YBEES,EQ,87007,52636,60.50
20,1074,GIPCL,EQ,133473,83309,62.42
20,1075,GIRIRAJ,SM,14750,10000,67.80
20,1076,GJL,ST,15200,14400,94.74
20,1077,GKENERGY,EQ,304164,148279,48.75
20,1078,GKSL,EQ,130793,90253,69.00
20,1079,GKWLIMITED,EQ,216,94,43.52
20,1080,GLAND,EQ,326961,171387,52.42
20,1081,GLAXO,EQ,56156,30290,53.94
20,1082,GLENMARK,EQ,355968,127559,35.83
20,1083,GLOBAL,EQ,42806,29221,68.26
20,1084,GLOBALPET,ST,48000,48000,100.00
20,1085,GLOBALVECT,EQ,3727,2853,76.55
20,1086,GLOBE,EQ,253978,222297,87.53
20,1087,GLOBUSSPR,EQ,1066351,190874,17.90
20,1088,GLOSTERLTD,EQ,2971,1500,50.49
20,1089,GMBREW,EQ,39823,19593,49.20
20,1090,GMDCLTD,EQ,495474,175483,35.42
20,1091,GML,SM,2000,2000,100.00
20,1092,GMMPFAUDLR,EQ,100863,62734,62.20
20,1093,GMRAIRPORT,EQ,16838250,11540543,68.54
